run_id,run_label,ligand_set,row_type,family,tier,variant,method,display_label,source,ligands,total_confs,mean_confs_per_ligand,generated_ligands,selected_ligands,kept_ligands,selected_pool_total,kept_confs_total,pb_fail_total,target_confs_mean,pb_fail_rate_mean,kept_vs_target_rate_mean,generated_candidates_total,finite_rejected_total,clash_rejected_total,bond_rejected_total,stereo_rejected_total,rmsd_rejected_total,pre_clash_passed_total,minimization_input_confs_total,minimization_failed_total,pairwise_mean,pairwise_p90,mean_torsion_std_deg,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_opt_best_rmsd,casf_opt_median_rmsd,total_clusters_0p5,mean_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,total_clusters_1p0,mean_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,total_clusters_2p0,mean_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,total_clusters_3p0,mean_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,clash_fail_total,clash_fail_rate,pb_fail_rate,ligands_scope
flowr_raw_core,FlowR (core),core,generation,flowr_raw,fixed,,flowr_raw_fixed,FlowR,flowr_raw_fixed,94,86482.0,920.0212765957447,94.0,94.0,94.0,93663.0,86482.0,7181.0,1000.0,0.07655884016684458,0.9200212765957447,93663.0,0.0,0.0,0.0,0.0,0.0,93663.0,0.0,0.0,1.4420915665969833,2.0214438284807335,107.32455110951193,24.793774882843767,255.6827435104373,35.241045129618435,18.44454317841559,0.4142003094078614,1.4700819283451003,0.456816149940081,1.4927157888709082,28021.0,298.09574468085106,34.65416431468241,0.7703066371822608,0.2042067386572863,254.3883482855259,0.17543070503697197,0.517524804391626,10750.0,114.36170212765957,14.267519035175258,0.7050184424903994,0.3245286368271204,91.86957349621767,0.2869706085346421,0.24262649616390128,857.0,9.117021276595745,1.1920958978255212,0.4936705605117911,0.619211926724479,6.814118471435508,0.576786380612403,0.02124021385343234,173.0,1.8404255319148937,0.21992683419955933,0.32112268600590704,0.8439800868133235,1.6434103105688131,0.8114243818826543,0.0,0.39361702127659576,0.723404255319149,0.8617021276595744,1.0,0.35106382978723405,0.7446808510638298,0.851063829787234,0.9893617021276596,,,,94/920
flowr_raw_core,FlowR (core),core,generation,flowr_raw,dynamic,,flowr_raw_dynamic,FlowR,flowr_raw_dynamic,94,6719.0,71.47872340425532,94.0,94.0,94.0,7514.0,6719.0,795.0,79.93617021276596,0.08308037079307119,0.9169196292069288,93663.0,0.0,0.0,0.0,0.0,0.0,7514.0,0.0,0.0,1.4286491312545584,1.992110349206755,102.80799592551921,25.679286119430763,136.606726247673,35.35013962666833,17.206282859199725,0.5910739332484441,1.460881294408713,0.6332739537694404,1.4837468505064495,4697.0,49.96808510638298,57.81398766098717,0.8478874721772437,0.26527131324540165,47.292451893867906,0.21947146657426678,0.581763188045936,2733.0,29.074468085106382,34.222712385834264,0.7443071258804659,0.38101713447327484,25.680218765520024,0.3334225548376222,0.3174343272644014,517.0,5.5,10.518902425796394,0.4898555443592527,0.6647042334628626,4.520722709062872,0.6209023780390203,0.05141626098147837,145.0,1.5425531914893618,6.542876482972462,0.24430093952787663,0.8780755221001926,1.4323844938164054,0.8553152897869294,0.02127659574468085,0.22340425531914893,0.5319148936170213,0.723404255319149,1.0,0.1595744680851064,0.46808510638297873,0.7340425531914894,0.9893617021276596,,,,94/71
flowr_raw_core,FlowR (core),core,generation,flowr_raw,chembl_count,,flowr_raw_chembl_count,FlowR,flowr_raw_chembl_count,94,6831.0,72.67021276595744,94.0,94.0,94.0,7629.0,6831.0,798.0,81.15957446808511,0.07072725692986048,0.9292727430701395,93663.0,0.0,0.0,0.0,0.0,0.0,7629.0,0.0,0.0,1.54838004976707,2.11532294709013,90.00061490984132,25.835720850701755,125.06509771686582,35.701691841924585,15.011887183436485,0.6371202812804084,1.4533602629331197,0.6707077978666829,1.4804631841070999,5084.0,54.08510638297872,72.72581572058958,0.8494959930831794,0.28968418201731566,50.84568239740523,0.2522412803664122,0.703334275464066,2739.0,29.138297872340427,47.07981016950406,0.6872287833443799,0.4242189805093426,25.38928385174936,0.37738920186980385,0.4180973952656765,468.0,4.9787234042553195,21.902176148803466,0.47663764410549386,0.6772643970806561,4.110820620412621,0.63095053663785,0.12590393399999156,147.0,1.5638297872340425,17.890048318898998,0.2679074956795538,0.872859943477141,1.444016839104075,0.8454235484639167,0.09210992907801419,0.18085106382978725,0.4787234042553192,0.7021276595744681,1.0,0.1276595744680851,0.44680851063829785,0.6595744680851063,0.9893617021276596,,,,94/73
loqi_core,LOQI (core),core,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,94,93938.0,999.3404255319149,94.0,94.0,94.0,94000.0,93938.0,62.0,1000.0,0.0006595744680851064,0.9993404255319149,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.0897880242381948,1.6792731108822023,105.9771394734271,30.516036641568725,49.6191389650306,36.25147795169195,2.8835736175244,0.3392801451715199,1.3045040629423368,0.38614838953792274,1.324688059998687,7939.0,84.45744680851064,8.452215343228573,0.6987869798420913,0.32526480516437156,51.03551318996266,0.26574405031853676,0.1935575781800585,1895.0,20.159574468085108,2.017186680043429,0.6337785924440066,0.4832300219392099,10.101269254889251,0.42217848206878406,0.061736783973328026,261.0,2.776595744680851,0.27780879092560484,0.37075528335180324,0.7690871092569979,2.015698749252259,0.7323431991760342,0.010392493058325347,121.0,1.2872340425531914,0.1288010266058456,0.15485998345360732,0.9333566235432481,1.181386422416588,0.9166775912627394,0.0,0.5531914893617021,0.8297872340425532,0.8617021276595744,1.0,0.5106382978723404,0.7872340425531915,0.8723404255319149,0.9893617021276596,,,,94/999
loqi_core,LOQI (core),core,generation,loqi_raw,dynamic,,loqi_raw_dynamic,LOQI,loqi_raw_dynamic,94,9420.0,100.2127659574468,94.0,94.0,94.0,9428.0,9420.0,8.0,100.29787234042553,0.0007393946820091983,0.9992606053179908,94000.0,0.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,1.0912902240567124,1.6783284135923358,101.27399896320229,31.311502337549424,45.219779041665724,36.22034329666445,2.8307444430551962,0.4640990634021336,1.2725677233129253,0.5075069305019105,1.294402209978566,2883.0,30.670212765957448,24.101859672079115,0.7532714472340388,0.35745585922373413,23.389335999275573,0.2919601056213738,0.292430831709944,1051.0,11.180851063829786,10.780300142420042,0.657585083087605,0.5123869813326235,7.481912152041823,0.4487779021873734,0.12144711941355897,221.0,2.351063829787234,4.4941876029137635,0.32884484891797067,0.8038928639366195,1.809171877047111,0.7701402579456488,0.022704246108501427,116.0,1.2340425531914894,3.7075541988315583,0.13560704555876477,0.942939153668968,1.155326671242,0.9278404728912155,0.0070921985815602835,0.46808510638297873,0.723404255319149,0.8191489361702128,0.9893617021276596,0.425531914893617,0.6808510638297872,0.8085106382978723,0.9787234042553191,,,,94/100
loqi_core,LOQI (core),core,generation,loqi_raw,chembl_count,,loqi_raw_chembl_count,LOQI,loqi_raw_chembl_count,94,7629.0,81.15957446808511,94.0,94.0,94.0,7629.0,7629.0,0.0,81.15957446808511,0.0,1.0,94000.0,0.0,0.0,0.0,0.0,0.0,7629.0,0.0,0.0,1.198220259700651,1.7777720973806541,89.93815142014185,31.728958017175493,44.30894028435598,36.39967828807932,2.890323406320007,0.536234344926686,1.289520480297555,0.578102622222096,1.3089916800743848,2349.0,24.98936170212766,42.76178988877749,0.7358892039877113,0.3912607412328597,19.022582863682803,0.3346736293180925,0.4233773379093145,865.0,9.202127659574469,27.680235625610578,0.6349621031002778,0.5365444518590655,6.378094929206434,0.4727511467534712,0.24061114323309568,205.0,2.1808510638297873,18.33189619653348,0.3708356145989808,0.8022076925129827,1.787840842675071,0.7630557810097955,0.10289598108747045,113.0,1.202127659574468,16.88474539986331,0.12103562449313307,0.9538107212619411,1.134105151386932,0.9378884331214962,0.0851063829787234,0.3723404255319149,0.6702127659574468,0.7446808510638298,0.9680851063829787,0.3404255319148936,0.648936170212766,0.7553191489361702,0.9574468085106383,,,,94/81
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,fixed,,mcf_drugs_l_raw_fixed,MCF drugs-L,mcf_drugs_l_raw_fixed,94,81483.0,866.8404255319149,94.0,94.0,93.0,94000.0,81483.0,12517.0,1000.0,0.1331595744680851,0.8668404255319149,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.3328135200430509,1.9583445323382593,108.32159526496163,34.67798944136405,45931.537774295095,45.23601887345956,1747.0189775276788,0.36591912532100945,1.4616067391467062,0.4178719245317909,1.488159866916265,10259.0,110.31182795698925,15.30881209853138,0.7955275995586136,0.23622934959483144,78.67082962297569,0.18510740054411523,0.253275612258295,3163.0,34.01075268817204,4.826047138153174,0.7223796807273062,0.3916165467284502,22.430490725068047,0.3374118932145978,0.09148846526136502,383.0,4.118279569892473,0.5763000170854357,0.487124310202636,0.6829720611661414,3.193233176773785,0.6403347554074841,0.010964338769743466,140.0,1.5053763440860215,0.21034197092553047,0.25869695076481536,0.8799293745833835,1.3771824836829902,0.853353764147242,0.0,0.46236559139784944,0.7634408602150538,0.8709677419354839,1.0,0.43010752688172044,0.7311827956989247,0.8602150537634409,0.989247311827957,,,,94/867
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,dynamic,,mcf_drugs_l_raw_dynamic,MCF drugs-L,mcf_drugs_l_raw_dynamic,94,6285.0,66.86170212765957,94.0,94.0,93.0,7514.0,6285.0,1229.0,79.93617021276596,0.13835148522459845,0.8616485147754016,94000.0,0.0,0.0,0.0,0.0,0.0,7514.0,0.0,0.0,1.3297430643839918,1.9228246543038814,102.16349713817304,36.46777352562627,466.0797084090055,45.2319763739758,65.86676423147689,0.5510591103751318,1.4669830760084832,0.596326801920095,1.4889940047626635,3006.0,32.32258064516129,43.1371932075397,0.8379783389307416,0.2792734725255318,28.176392875875944,0.22370073424820486,0.4171119329762376,1436.0,15.440860215053764,23.05003411092869,0.726272322926744,0.43858652809673904,12.547858577225465,0.383430094697807,0.17901247432625222,297.0,3.193548387096774,8.577365752490225,0.45454996570107015,0.7136205738253648,2.6751310864888143,0.6722048121831029,0.03023980201399556,130.0,1.3978494623655915,6.285239299694933,0.22534613498135245,0.9021966106930029,1.296727028573637,0.8792445784961963,0.013440860215053764,0.3333333333333333,0.5806451612903226,0.7419354838709677,0.978494623655914,0.34408602150537637,0.5698924731182796,0.7311827956989247,0.967741935483871,,,,94/67
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,chembl_count,,mcf_drugs_l_raw_chembl_count,MCF drugs-L,mcf_drugs_l_raw_chembl_count,94,6213.0,66.09574468085107,94.0,94.0,93.0,7629.0,6213.0,1416.0,81.15957446808511,0.12711732879139345,0.8728826712086065,94000.0,0.0,0.0,0.0,0.0,0.0,7629.0,0.0,0.0,1.4339599312399258,2.051553379744004,90.68704655209119,37.37933440096895,720.4763313202218,45.26005384217224,64.15573156673292,0.559308190727478,1.4396085008135528,0.6006862803617222,1.4670657292691491,2905.0,31.236559139784948,56.368841969589255,0.8088893509044344,0.3285659687328953,26.857802747462078,0.28273342723606304,0.5345463734568102,1316.0,14.150537634408602,36.00422222445289,0.6911458362806067,0.4725427023195924,11.29517321264571,0.41617864498744683,0.2909989060101933,278.0,2.989247311827957,20.21384275778574,0.4319038760977533,0.7347053974080957,2.526000352616472,0.6909005082987728,0.11478790027177124,120.0,1.2903225806451613,17.511622833415686,0.1870468011937997,0.9175603862115197,1.2433442581608642,0.8994772367951498,0.08960573476702509,0.21505376344086022,0.5483870967741935,0.7204301075268817,0.989247311827957,0.24731182795698925,0.5376344086021505,0.7204301075268817,0.978494623655914,,,,94/66
nextmol_dmt_l_core,NextMol DMT-L (core),core,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,94,81963.0,871.9468085106383,94.0,94.0,93.0,94000.0,81963.0,12037.0,1000.0,0.1280531914893617,0.8719468085106383,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.3090138167154397,1.9548547255765265,109.17790527069674,32.91510296595372,185.36992455656502,40.39183208723284,8.137895278130454,0.3856563688758471,1.453777701006857,0.44055655036404506,1.4772047809871562,9904.0,106.49462365591398,13.996913488276247,0.775359398422551,0.2527446002829045,75.93044871038589,0.20492199077876097,0.22378521181202407,2927.0,31.473118279569892,4.201135945711049,0.7138793742186547,0.40267108873678775,20.56638572572817,0.34799903080876127,0.08489967666151478,364.0,3.913978494623656,0.5228586341389354,0.4750386711754789,0.6888573663520198,2.8982267803195376,0.6463527057230184,0.007837113339959638,136.0,1.4623655913978495,0.18951076166494818,0.2418062939747241,0.8905245743709257,1.3248299573112936,0.8636404237187172,0.0,0.46236559139784944,0.7634408602150538,0.8709677419354839,0.989247311827957,0.3978494623655914,0.7634408602150538,0.8602150537634409,0.978494623655914,,,,94/872
